Label,Text
depression,`` n't find joy things used enjoy . ''
depression,`` Life seems meaningless overwhelming . ''
depression,`` Getting bed daily struggle . ''
depression,`` often cry reason . ''
depression,`` 've lost interest socializing . ''
depression,`` energy levels constantly low . ''
depression,`` feel deep sense hopelessness . ''
depression,`` ca n't concentrate anything . ''
depression,`` Sleeping difficult ; insomnia . ''
depression,`` 'm overwhelmed negative thoughts . ''
depression,`` 'm experiencing loss appetite . ''
depression,`` Every day feels like battle . ''
depression,`` trouble finding motivation . ''
depression,`` feel like burden others . ''
depression,`` self-esteem all-time low . ''
depression,`` isolate friends family . ''
depression,`` often feel like giving . ''
depression,`` life lacks purpose . ''
depression,`` ca n't stop thinking failures . ''
depression,`` feel trapped cycle sadness . ''
depression,`` 'm losing interest work . ''
depression,`` 'm constantly fatigued exhausted . ''
depression,`` sense impending doom . ''
depression,`` 'm neglecting self-care hygiene . ''
depression,`` 've withdrawn social activities . ''
depression,`` 'm experiencing physical aches pains . ''
depression,`` struggle make decisions . ''
depression,`` thoughts filled self-doubt . ''
depression,`` trouble getting bed . ''
depression,`` 'm overwhelmed sense guilt . ''
depression,`` 'm unable enjoy simple pleasures . ''
depression,`` feel disconnected world . ''
depression,`` 've lost interest hobbies . ''
depression,`` 'm plagued feelings worthlessness . ''
depression,`` feel like 'm burden family . ''
depression,`` trouble getting day . ''
depression,`` often wish could escape everything . ''
depression,`` 've lost appetite food . ''
depression,`` ca n't seem shake sadness . ''
depression,`` 'm constantly edge anxious . ''
depression,`` 'm neglecting responsibilities . ''
depression,`` 've given future . ''
depression,`` 'm unable concentrate work . ''
depression,`` feel like 'm never-ending darkness . ''
depression,`` 'm struggling find reason live . ''
depression,`` 've stopped caring appearance . ''
depression,`` feel like 'm burden society . ''
depression,`` 'm emotionally numb time . ''
depression,`` 've lost hope better tomorrow . ''
depression,"`` Lately , 've experiencing constant sense sadness lack motivation perform well . ''"
depression,"`` 've noticed changes appetite , 've losing interest social activities used enjoy . ''"
depression,"`` often feel fatigued day , 's affecting ability concentrate tasks . `` 've isolating coworkers , find challenging communicate collaborate . ''"
depression,"`` 've recurring thoughts hopelessness worthlessness , causing emotional distress.My mood unpredictable lately , frequently experience irritability frustration . ''"
depression,"`` Decision-making become struggle , often feel overwhelmed even simple choices ''"
depression,"`` 've experiencing physical symptoms like headaches muscle tension , believe stress-related . ''"
depression,`` 've feeling increasingly anxious work deadlines trouble sleeping night . constant worry meeting expectations taking toll mental well-being . ''
depression,"`` Lately , 've experiencing constant sense sadness , 've lost interest activities used love . find hard muster enthusiasm even simple pleasures . ''"
depression,"`` 've noticed changes appetite , 've losing interest social activities used enjoy . energy levels plummeted , leaving feeling lethargic ''"
depression,"`` often feel fatigued day , 's affecting ability concentrate tasks . Simple tasks feel overwhelming , struggle maintain focus . ''"
depression,"`` 've isolating coworkers , avoiding lunch breaks team gatherings . find challenging communicate collaborate , fearing judgment . ''"
depression,"`` 've recurring thoughts hopelessness worthlessness , causing emotional distress . thoughts often lead tearful moments ''"
depression,"`` mood unpredictable lately , frequently experience irritability frustration . Even minor inconveniences trigger intense emotional responses . ''"
depression,"`` Decision-making become struggle , often feel overwhelmed even simple choices . fear making wrong decision paralyzes ''"
depression,"`` 've experiencing physical symptoms like headaches muscle tension , suspect may linked stress . symptoms persistent affect daily life . ''"
